call_id,timestamp,trade,handled_by,after_hours,duration_sec,booked,appointment_id
CALL-0001,2026-06-15T11:37,Plumbing,ai,no,131,yes,APPT-5001
CALL-0002,2026-06-21T15:46,HVAC,ai,yes,370,no,
CALL-0003,2026-05-08T04:10,Roofing,ai,yes,200,yes,APPT-5002
CALL-0004,2026-06-23T13:43,Electrical,human,no,377,yes,APPT-5003
CALL-0005,2026-05-22T17:04,Electrical,ai,no,454,no,
CALL-0006,2026-05-10T16:31,Electrical,ai,yes,146,no,
CALL-0007,2026-05-06T13:50,Plumbing,ai,no,146,yes,APPT-5004
CALL-0008,2026-05-17T23:48,Plumbing,ai,yes,368,yes,APPT-5005
CALL-0009,2026-05-26T09:19,Roofing,ai,no,211,yes,APPT-5006
CALL-0010,2026-05-22T17:15,Electrical,ai,no,404,no,
CALL-0011,2026-05-21T11:50,HVAC,ai,no,409,no,
CALL-0012,2026-05-27T16:34,Roofing,ai,no,247,yes,APPT-5007
CALL-0013,2026-05-22T15:04,Garage Door,ai,no,179,yes,APPT-5008
CALL-0014,2026-06-10T11:18,Electrical,ai,no,235,no,
CALL-0015,2026-05-21T17:00,Roofing,human,no,450,yes,APPT-5009
CALL-0016,2026-06-11T18:13,Roofing,ai,yes,102,no,
CALL-0017,2026-06-22T07:15,HVAC,ai,yes,70,no,
CALL-0018,2026-05-12T18:50,Electrical,ai,yes,117,yes,APPT-5010
CALL-0019,2026-06-01T12:19,Electrical,ai,no,280,no,
CALL-0020,2026-06-11T11:58,Plumbing,ai,no,123,yes,APPT-5011
CALL-0021,2026-06-11T14:15,HVAC,ai,no,356,no,
CALL-0022,2026-06-08T19:15,Electrical,ai,yes,237,yes,APPT-5012
CALL-0023,2026-06-18T11:55,Plumbing,human,no,131,no,
CALL-0024,2026-06-22T09:52,Plumbing,ai,no,288,yes,APPT-5013
CALL-0025,2026-05-17T09:30,Garage Door,ai,yes,221,yes,APPT-5014
CALL-0026,2026-05-24T16:50,Garage Door,ai,yes,228,yes,APPT-5015
CALL-0027,2026-05-31T13:15,HVAC,ai,yes,440,no,
CALL-0028,2026-06-25T15:40,Garage Door,ai,no,229,no,
CALL-0029,2026-05-13T18:48,Garage Door,ai,yes,103,yes,APPT-5016
CALL-0030,2026-06-03T09:40,Electrical,ai,no,274,no,
CALL-0031,2026-05-19T17:10,Electrical,ai,no,357,yes,APPT-5017
CALL-0032,2026-06-02T15:49,Roofing,ai,no,162,no,
CALL-0033,2026-06-23T13:06,Garage Door,ai,no,365,yes,APPT-5018
CALL-0034,2026-06-07T09:11,Garage Door,ai,yes,175,no,
CALL-0035,2026-05-31T21:35,HVAC,ai,yes,146,yes,APPT-5019
CALL-0036,2026-06-11T08:52,HVAC,human,no,115,no,
CALL-0037,2026-06-05T07:33,Garage Door,ai,yes,472,yes,APPT-5020
CALL-0038,2026-05-11T00:38,Roofing,ai,yes,127,yes,APPT-5021
CALL-0039,2026-05-08T09:59,Garage Door,ai,no,410,no,
CALL-0040,2026-05-13T12:13,Electrical,ai,no,427,no,
CALL-0041,2026-06-20T13:46,Garage Door,ai,yes,50,yes,APPT-5022
CALL-0042,2026-06-03T00:58,Plumbing,ai,yes,390,no,
CALL-0043,2026-05-09T16:04,Plumbing,ai,yes,446,no,
CALL-0044,2026-05-20T08:20,HVAC,human,no,252,yes,APPT-5023
CALL-0045,2026-06-20T12:07,HVAC,ai,yes,186,no,
CALL-0046,2026-05-27T11:30,HVAC,ai,no,352,no,
CALL-0047,2026-06-08T11:24,Plumbing,human,no,467,no,
CALL-0048,2026-05-07T16:00,Plumbing,ai,no,440,no,
CALL-0049,2026-06-27T14:55,Roofing,ai,yes,175,yes,APPT-5024
CALL-0050,2026-06-26T08:49,Garage Door,ai,no,427,no,
CALL-0051,2026-06-02T10:16,Garage Door,ai,no,216,yes,APPT-5025
CALL-0052,2026-05-16T20:55,Plumbing,ai,yes,241,no,
CALL-0053,2026-05-27T18:36,HVAC,ai,yes,70,yes,APPT-5026
CALL-0054,2026-05-09T09:54,Electrical,ai,yes,58,no,
CALL-0055,2026-05-14T15:37,Electrical,ai,no,94,no,
CALL-0056,2026-06-05T17:48,Garage Door,ai,no,414,yes,APPT-5027
CALL-0057,2026-05-29T15:58,Roofing,human,no,343,yes,APPT-5028
CALL-0058,2026-06-28T00:42,Electrical,ai,yes,460,yes,APPT-5029
CALL-0059,2026-05-31T21:20,HVAC,ai,yes,255,yes,APPT-5030
CALL-0060,2026-06-25T19:35,Plumbing,ai,yes,81,yes,APPT-5031
CALL-0061,2026-05-16T13:16,Electrical,human,yes,124,yes,APPT-5032
CALL-0062,2026-05-06T12:05,Plumbing,human,no,453,no,
CALL-0063,2026-05-27T17:40,Electrical,ai,no,107,yes,APPT-5033
CALL-0064,2026-05-30T12:09,HVAC,human,yes,61,yes,APPT-5034
CALL-0065,2026-05-11T13:25,HVAC,ai,no,404,yes,APPT-5035
CALL-0066,2026-06-16T22:41,HVAC,ai,yes,58,no,
CALL-0067,2026-05-11T13:01,Roofing,ai,no,336,no,
CALL-0068,2026-06-06T10:50,Garage Door,ai,yes,51,yes,APPT-5036
CALL-0069,2026-06-24T11:48,Electrical,human,no,125,yes,APPT-5037
CALL-0070,2026-05-28T01:16,Electrical,ai,yes,452,no,
CALL-0071,2026-05-21T15:09,HVAC,human,no,442,yes,APPT-5038
CALL-0072,2026-05-04T17:42,Plumbing,ai,no,423,yes,APPT-5039
CALL-0073,2026-05-09T10:16,Roofing,ai,yes,133,no,
CALL-0074,2026-05-18T08:25,Garage Door,ai,no,362,no,
CALL-0075,2026-06-14T20:21,HVAC,human,yes,271,no,
CALL-0076,2026-05-22T14:09,Roofing,ai,no,241,no,
CALL-0077,2026-05-06T14:05,Roofing,ai,no,269,no,
CALL-0078,2026-05-10T10:26,Electrical,ai,yes,236,no,
CALL-0079,2026-05-05T10:37,Garage Door,ai,no,475,yes,APPT-5040
CALL-0080,2026-06-29T09:22,Garage Door,ai,no,127,no,
CALL-0081,2026-06-27T06:16,HVAC,ai,yes,319,no,
CALL-0082,2026-05-20T15:30,Plumbing,ai,no,463,no,
CALL-0083,2026-05-01T14:32,Electrical,ai,no,393,no,
CALL-0084,2026-05-12T12:25,Electrical,human,no,285,yes,APPT-5041
CALL-0085,2026-06-06T13:16,Garage Door,ai,yes,144,yes,APPT-5042
CALL-0086,2026-05-09T08:14,Garage Door,ai,yes,179,yes,APPT-5043
CALL-0087,2026-05-15T22:16,Garage Door,ai,yes,248,yes,APPT-5044
CALL-0088,2026-05-21T11:44,Garage Door,ai,no,85,no,
CALL-0089,2026-06-09T10:56,Roofing,ai,no,194,yes,APPT-5045
