job_id,appointment_id,scheduled_for,trade,dispatched,completed,status,leak_reason,quoted_value,invoiced_value
JOB-5001,APPT-5001,2026-06-16T08:37,Plumbing,yes,no,cancelled,customer cancelled pre-arrival,653.85,0.0
JOB-5002,APPT-5002,2026-05-09T14:10,Roofing,yes,yes,invoiced,,9127.88,9127.88
JOB-5003,APPT-5003,2026-06-25T07:43,Electrical,yes,yes,invoiced,,1240.07,1240.07
JOB-5004,APPT-5004,2026-05-09T07:50,Plumbing,no,no,cancelled,customer cancelled pre-arrival,152.34,0.0
JOB-5005,APPT-5005,2026-05-19T06:48,Plumbing,yes,yes,invoiced,,173.97,173.97
JOB-5006,APPT-5006,2026-05-28T18:19,Roofing,yes,yes,invoiced,,416.19,416.19
JOB-5007,APPT-5007,2026-05-28T12:34,Roofing,yes,no,cancelled,capacity conflict - slot unavailable,509.56,0.0
JOB-5008,APPT-5008,2026-05-24T20:04,Garage Door,yes,no,cancelled,duplicate of existing job,263.86,0.0
JOB-5009,APPT-5009,2026-05-24T14:00,Roofing,yes,yes,invoiced,,2160.18,2160.18
JOB-5010,APPT-5010,2026-05-15T14:50,Electrical,no,no,cancelled,wrong trade assigned,300.73,0.0
JOB-5011,APPT-5011,2026-06-12T18:58,Plumbing,yes,yes,invoiced,,215.03,215.03
JOB-5012,APPT-5012,2026-06-10T16:15,Electrical,no,no,cancelled,outside service area,213.69,0.0
JOB-5013,APPT-5013,2026-06-24T05:52,Plumbing,no,no,cancelled,customer cancelled pre-arrival,161.32,0.0
JOB-5014,APPT-5014,2026-05-18T15:30,Garage Door,yes,yes,completed_unbilled,invoice not raised,211.48,0.0
JOB-5015,APPT-5015,2026-05-27T03:50,Garage Door,yes,yes,invoiced,,892.6,892.6
JOB-5016,APPT-5016,2026-05-14T23:48,Garage Door,yes,yes,completed_unbilled,invoice not raised,187.92,0.0
JOB-5017,APPT-5017,2026-05-21T02:10,Electrical,yes,yes,invoiced,,923.82,1196.05
JOB-5018,APPT-5018,2026-06-24T20:06,Garage Door,no,no,cancelled,customer cancelled pre-arrival,1262.64,0.0
JOB-5019,APPT-5019,2026-06-02T06:35,HVAC,yes,yes,invoiced,,756.82,756.82
JOB-5020,APPT-5020,2026-06-06T09:33,Garage Door,yes,yes,invoiced,,248.45,248.45
JOB-5021,APPT-5021,2026-05-14T12:38,Roofing,yes,yes,invoiced,,448.43,448.43
JOB-5022,APPT-5022,2026-06-21T09:46,Garage Door,yes,yes,invoiced,,346.73,346.73
JOB-5023,APPT-5023,2026-05-23T16:20,HVAC,yes,no,no_show,customer no-show,1358.68,0.0
JOB-5024,APPT-5024,2026-06-29T15:55,Roofing,yes,yes,invoiced,,415.29,398.44
JOB-5025,APPT-5025,2026-06-05T11:16,Garage Door,yes,no,no_show,customer no-show,121.96,0.0
JOB-5026,APPT-5026,2026-05-29T07:36,HVAC,yes,yes,invoiced,,239.83,186.1
JOB-5027,APPT-5027,2026-06-09T03:48,Garage Door,yes,yes,invoiced,,185.07,185.07
JOB-5028,APPT-5028,2026-05-31T20:58,Roofing,yes,yes,invoiced,,4967.51,4967.51
JOB-5029,APPT-5029,2026-06-29T22:42,Electrical,yes,yes,invoiced,,143.79,193.68
JOB-5030,APPT-5030,2026-06-02T15:20,HVAC,yes,yes,invoiced,,256.35,256.35
JOB-5031,APPT-5031,2026-06-26T17:35,Plumbing,yes,yes,invoiced,,1050.61,1050.61
JOB-5032,APPT-5032,2026-05-17T16:16,Electrical,yes,no,cancelled,outside service area,140.02,0.0
JOB-5033,APPT-5033,2026-05-28T15:40,Electrical,yes,yes,invoiced,,142.9,142.9
JOB-5034,APPT-5034,2026-06-02T01:09,HVAC,yes,yes,invoiced,,199.1,199.1
JOB-5035,APPT-5035,2026-05-12T14:25,HVAC,yes,yes,invoiced,,733.5,733.5
JOB-5036,APPT-5036,2026-06-06T14:50,Garage Door,no,no,cancelled,customer cancelled pre-arrival,208.67,0.0
JOB-5037,APPT-5037,2026-06-25T19:48,Electrical,no,no,cancelled,capacity conflict - slot unavailable,141.23,0.0
JOB-5038,APPT-5038,2026-05-23T06:09,HVAC,yes,no,cancelled,capacity conflict - slot unavailable,202.06,0.0
JOB-5039,APPT-5039,2026-05-06T22:42,Plumbing,yes,yes,invoiced,,2456.04,2456.04
JOB-5040,APPT-5040,2026-05-06T14:37,Garage Door,no,no,cancelled,duplicate of existing job,351.01,0.0
JOB-5041,APPT-5041,2026-05-14T07:25,Electrical,yes,no,cancelled,capacity conflict - slot unavailable,1853.51,0.0
JOB-5042,APPT-5042,2026-06-08T18:16,Garage Door,yes,no,no_show,customer no-show,142.64,0.0
JOB-5043,APPT-5043,2026-05-13T04:14,Garage Door,yes,yes,invoiced,,122.11,122.11
JOB-5044,APPT-5044,2026-05-16T15:16,Garage Door,yes,yes,invoiced,,230.71,230.71
JOB-5045,APPT-5045,2026-06-12T04:56,Roofing,no,no,cancelled,capacity conflict - slot unavailable,9019.19,0.0
JOB-5046,APPT-5046,2026-06-03T07:08,Electrical,yes,yes,invoiced,,885.63,885.63
JOB-5047,APPT-5047,2026-05-31T22:49,Roofing,yes,yes,invoiced,,1686.29,1686.29
JOB-5048,APPT-5048,2026-05-22T02:27,HVAC,yes,yes,invoiced,,2216.95,2216.95
JOB-5049,APPT-5049,2026-06-16T22:53,Electrical,no,no,cancelled,duplicate of existing job,386.45,0.0
JOB-5050,APPT-5050,2026-06-29T04:50,Roofing,yes,yes,invoiced,,721.01,721.01
JOB-5051,APPT-5051,2026-06-18T00:32,Roofing,yes,yes,invoiced,,425.2,425.2
JOB-5052,APPT-5052,2026-06-05T12:46,Roofing,yes,yes,invoiced,,2203.78,1603.92
JOB-5053,APPT-5053,2026-05-03T21:59,HVAC,yes,yes,invoiced,,220.32,220.32
JOB-5054,APPT-5054,2026-05-05T21:29,Electrical,yes,yes,invoiced,,2540.02,2540.02
JOB-5055,APPT-5055,2026-05-17T08:11,HVAC,yes,yes,invoiced,,700.89,700.89
JOB-5056,APPT-5056,2026-05-14T01:50,HVAC,yes,yes,invoiced,,2324.64,2324.64
JOB-5057,APPT-5057,2026-06-02T10:29,Electrical,yes,yes,invoiced,,165.13,165.13
JOB-5058,APPT-5058,2026-05-08T07:49,Electrical,yes,yes,invoiced,,153.29,148.34
JOB-5059,APPT-5059,2026-05-30T08:52,Electrical,yes,yes,invoiced,,241.36,241.36
JOB-5060,APPT-5060,2026-05-31T08:30,Electrical,no,no,cancelled,customer cancelled pre-arrival,155.92,0.0
JOB-5061,APPT-5061,2026-06-17T07:05,Garage Door,yes,yes,invoiced,,333.96,333.96
JOB-5062,APPT-5062,2026-06-29T08:42,Electrical,yes,yes,invoiced,,1704.18,1704.18
JOB-5063,APPT-5063,2026-06-22T06:38,Plumbing,yes,yes,invoiced,,877.36,868.22
JOB-5064,APPT-5064,2026-06-18T08:01,Plumbing,no,no,cancelled,capacity conflict - slot unavailable,151.7,0.0
JOB-5065,APPT-5065,2026-05-10T05:18,Garage Door,yes,yes,invoiced,,148.74,174.59
JOB-5066,APPT-5066,2026-05-18T08:45,Electrical,no,no,cancelled,customer cancelled pre-arrival,140.61,0.0
JOB-5067,APPT-5067,2026-05-09T07:05,Garage Door,no,no,cancelled,wrong trade assigned,120.51,0.0
JOB-5068,APPT-5068,2026-05-28T11:59,HVAC,no,no,cancelled,customer cancelled pre-arrival,242.19,0.0
JOB-5069,APPT-5069,2026-05-14T23:22,Garage Door,no,no,cancelled,capacity conflict - slot unavailable,130.54,0.0
JOB-5070,APPT-5070,2026-05-12T10:26,HVAC,yes,yes,invoiced,,405.56,405.56
JOB-5071,APPT-5071,2026-05-30T07:26,HVAC,yes,no,cancelled,outside service area,184.24,0.0
JOB-5072,APPT-5072,2026-06-29T17:58,HVAC,yes,no,cancelled,capacity conflict - slot unavailable,220.8,0.0
JOB-5073,APPT-5073,2026-06-28T04:33,Electrical,yes,yes,invoiced,,140.27,140.27
JOB-5074,APPT-5074,2026-07-01T13:29,Plumbing,yes,yes,invoiced,,157.06,157.06
JOB-5075,APPT-5075,2026-05-14T07:46,HVAC,yes,yes,invoiced,,232.06,232.06
JOB-5076,APPT-5076,2026-06-07T22:53,Roofing,no,no,cancelled,wrong trade assigned,522.88,0.0
JOB-5077,APPT-5077,2026-05-23T13:16,Electrical,yes,no,cancelled,capacity conflict - slot unavailable,1045.36,0.0
JOB-5078,APPT-5078,2026-06-28T16:29,Garage Door,yes,yes,invoiced,,124.31,165.74
JOB-5079,APPT-5079,2026-06-20T15:21,Roofing,yes,yes,invoiced,,1685.66,1685.66
JOB-5080,APPT-5080,2026-06-23T13:28,Electrical,yes,yes,invoiced,,1270.43,1270.43
JOB-5081,APPT-5081,2026-06-25T03:00,Plumbing,no,no,cancelled,wrong trade assigned,150.71,0.0
JOB-5082,APPT-5082,2026-06-17T06:24,HVAC,yes,yes,invoiced,,447.39,447.39
JOB-5083,APPT-5083,2026-06-09T11:19,Plumbing,yes,yes,invoiced,,166.11,208.16
JOB-5084,APPT-5084,2026-05-30T08:25,Roofing,yes,no,no_show,customer no-show,1280.33,0.0
JOB-5085,APPT-5085,2026-05-28T17:46,Electrical,yes,yes,invoiced,,146.17,146.17
JOB-5086,APPT-5086,2026-06-28T05:52,HVAC,yes,yes,invoiced,,184.66,186.1
JOB-5087,APPT-5087,2026-06-29T15:19,HVAC,no,no,cancelled,wrong trade assigned,530.9,0.0
JOB-5088,APPT-5088,2026-06-10T10:28,Garage Door,yes,no,no_show,customer no-show,1112.18,0.0
JOB-5089,APPT-5089,2026-05-04T17:38,HVAC,yes,yes,invoiced,,1124.42,1124.42
JOB-5090,APPT-5090,2026-05-13T22:41,Roofing,yes,yes,invoiced,,661.2,661.2
JOB-5091,APPT-5091,2026-05-28T04:29,Plumbing,yes,yes,invoiced,,492.45,492.45
JOB-5092,APPT-5092,2026-05-01T19:17,HVAC,yes,yes,invoiced,,225.93,225.93
JOB-5093,APPT-5093,2026-06-08T13:31,Roofing,yes,yes,invoiced,,1502.8,1502.8
JOB-5094,APPT-5094,2026-05-25T16:50,Roofing,yes,yes,invoiced,,514.86,514.86
JOB-5095,APPT-5095,2026-06-08T12:10,Garage Door,yes,no,cancelled,outside service area,1368.48,0.0
JOB-5096,APPT-5096,2026-05-20T15:34,Garage Door,no,no,cancelled,customer cancelled pre-arrival,790.43,0.0
JOB-5097,APPT-5097,2026-06-04T22:08,Garage Door,no,no,cancelled,capacity conflict - slot unavailable,122.63,0.0
JOB-5098,APPT-5098,2026-06-22T13:14,Garage Door,yes,yes,invoiced,,713.83,904.44
JOB-5099,APPT-5099,2026-05-14T18:36,Electrical,no,no,cancelled,capacity conflict - slot unavailable,140.04,0.0
JOB-5100,APPT-5100,2026-05-29T02:02,Plumbing,yes,yes,invoiced,,585.98,645.92
JOB-5101,APPT-5101,2026-05-06T10:30,Garage Door,yes,yes,invoiced,,329.81,329.81
JOB-5102,APPT-5102,2026-05-29T20:49,Garage Door,yes,yes,invoiced,,122.26,122.26
JOB-5103,APPT-5103,2026-05-18T11:37,Electrical,yes,yes,invoiced,,144.26,144.26
JOB-5104,APPT-5104,2026-05-10T11:31,HVAC,yes,yes,invoiced,,191.5,224.34
JOB-5105,APPT-5105,2026-06-07T14:57,HVAC,yes,yes,invoiced,,330.15,330.15
JOB-5106,APPT-5106,2026-05-21T03:34,Garage Door,yes,no,cancelled,capacity conflict - slot unavailable,531.09,0.0
JOB-5107,APPT-5107,2026-06-16T14:33,Roofing,yes,yes,invoiced,,6903.31,6964.85
JOB-5108,APPT-5108,2026-06-18T07:08,Roofing,yes,yes,invoiced,,1105.47,1105.47
JOB-5109,APPT-5109,2026-05-15T20:56,Roofing,yes,yes,invoiced,,400.11,400.11
JOB-5110,APPT-5110,2026-06-15T07:50,Garage Door,yes,no,cancelled,capacity conflict - slot unavailable,263.18,0.0
JOB-5111,APPT-5111,2026-07-02T21:49,Roofing,yes,yes,completed_unbilled,invoice not raised,545.86,0.0
JOB-5112,APPT-5112,2026-05-19T16:05,HVAC,yes,yes,invoiced,,394.82,521.08
JOB-5113,APPT-5113,2026-06-15T02:09,HVAC,no,no,cancelled,wrong trade assigned,778.06,0.0
JOB-5114,APPT-5114,2026-06-10T04:13,Garage Door,no,no,cancelled,customer cancelled pre-arrival,127.39,0.0
JOB-5115,APPT-5115,2026-06-15T21:38,HVAC,no,no,cancelled,capacity conflict - slot unavailable,658.99,0.0
JOB-5116,APPT-5116,2026-07-02T02:00,Electrical,yes,no,cancelled,customer cancelled pre-arrival,2262.27,0.0
JOB-5117,APPT-5117,2026-05-17T19:54,Electrical,yes,yes,completed_unbilled,invoice not raised,140.01,0.0
JOB-5118,APPT-5118,2026-06-30T17:56,Electrical,yes,yes,invoiced,,264.75,264.75
JOB-5119,APPT-5119,2026-05-14T00:25,Electrical,yes,yes,invoiced,,2255.09,2255.09
JOB-5120,APPT-5120,2026-05-22T18:27,Plumbing,no,no,cancelled,duplicate of existing job,207.34,0.0
JOB-5121,APPT-5121,2026-06-29T01:25,HVAC,yes,yes,invoiced,,1095.12,1095.12
JOB-5122,APPT-5122,2026-05-29T07:33,Roofing,yes,yes,invoiced,,488.58,621.83
JOB-5123,APPT-5123,2026-05-16T00:11,Electrical,yes,yes,invoiced,,140.24,140.24
JOB-5124,APPT-5124,2026-06-10T16:34,HVAC,yes,yes,invoiced,,368.7,481.74
JOB-5125,APPT-5125,2026-05-06T17:30,Garage Door,no,no,cancelled,outside service area,177.55,0.0
JOB-5126,APPT-5126,2026-05-29T22:46,Roofing,yes,yes,invoiced,,1725.91,1459.32
JOB-5127,APPT-5127,2026-05-22T21:49,Plumbing,yes,yes,invoiced,,1310.6,1417.68
JOB-5128,APPT-5128,2026-06-08T10:54,Plumbing,yes,yes,invoiced,,512.08,512.08
JOB-5129,APPT-5129,2026-06-19T04:47,Electrical,no,no,cancelled,wrong trade assigned,140.52,0.0
JOB-5130,APPT-5130,2026-06-29T17:51,HVAC,yes,no,cancelled,duplicate of existing job,270.43,0.0
JOB-5131,APPT-5131,2026-06-06T10:33,Roofing,no,no,cancelled,duplicate of existing job,419.16,0.0
JOB-5132,APPT-5132,2026-06-04T23:24,Electrical,yes,yes,invoiced,,976.13,976.13
